,Recipe_ID,Recipe_Name,Cuisine_Type,Ingredients_List,Preparation_Steps,Cooking_Time_Minutes,Difficulty_Level,User_ID,User_Preferences,User_Rating,User_Feedback,Date_Prepared,Season,Occasion,Serving_Size,Calories_Per_Serving,Allergen_Information,Cost_Per_Serving,Popularity_Score,Seasonal_Availability,Type_Count,Pre_Count,Ing_Count,Top_Type,Top_Pre,Top_Ing,Total_Time,Type_Freq,Pre_Freq,Ing_Freq,Ing_Sim,Pre_Sim,Is_Aller
0,R001,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,55,Medium,U539,,3,Feedback 1,2024-07-06,Spring,Party,4,509,,14.12,402,No,3,3,3,Mexican,Cook beef; Prepare toppings; Assemble tacos.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",6,0.5,0.5,0.5,0.9999999,0.9999999,0
1,R002,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,39,Easy,U538,,2,Feedback 2,2024-02-24,Winter,Casual,4,275,Gluten,16.07,183,No,3,2,2,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",4,0.75,0.5,0.5,1.0,1.0,0
2,R003,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,36,Medium,U324,Gluten-Free,4,Feedback 3,2024-02-14,Winter,Party,5,293,,11.97,137,Yes,2,2,2,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",9,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.36058468,0.31877378,0
3,R004,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,45,Medium,U548,Gluten-Free,2,Feedback 4,2024-04-13,Spring,Casual,6,580,,10.36,246,Yes,2,2,2,Italian,Prepare dough; Add toppings; Bake pizza.,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0871313,0.2420375,0
4,R005,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,85,Easy,U990,Vegan,5,Feedback 5,2024-08-03,Fall,Dinner,4,641,Soy,12.68,386,No,3,3,3,Chinese,Chop veggies; Stir-fry; Add sauce; Serve.,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",8,0.375,0.375,0.375,0.9999999,1.0,1
5,R006,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,38,Medium,U649,,1,Feedback 6,2024-10-14,Summer,Party,3,749,,12.25,248,Yes,3,3,3,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9999999,0.6008035,0
6,R007,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,71,Easy,U376,Vegan,2,Feedback 7,2024-04-20,Summer,Casual,5,310,Soy,7.4,297,Yes,1,1,1,Mexican,Cook beef; Prepare toppings; Assemble tacos.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",9,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.14242914,0.094956286,1
7,R008,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,64,Easy,U359,Vegan,3,Feedback 8,2024-01-09,Spring,Lunch,3,574,Soy,14.94,332,Yes,2,2,2,Italian,Cook beef; Prepare toppings; Assemble tacos.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",12,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.14242914,0.094956286,1
8,R009,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,46,Medium,U263,Gluten-Free,3,Feedback 9,2024-05-02,Fall,Party,5,730,,10.02,335,Yes,3,3,3,Italian,Cook chicken; Add spices; Pour coconut milk; Simmer.,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",9,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.99999994,0
9,R010,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,22,Medium,U940,,1,Feedback 10,2024-04-12,Fall,Party,4,278,,18.41,259,No,3,3,3,Italian,Cook beef; Prepare toppings; Assemble tacos.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9999999,0.9999999,0
10,R011,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,71,Hard,U563,Vegetarian,3,Feedback 11,2024-06-11,Fall,Dinner,3,481,Dairy,5.03,471,Yes,2,1,1,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0871313,0.24441317,0
11,R012,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,34,Easy,U761,,3,Feedback 12,2024-05-24,Fall,Dinner,5,789,Gluten,17.95,128,No,3,1,1,Italian,Chop veggies; Stir-fry; Add sauce; Serve.,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",7,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.41570342,0.5425549,0
12,R013,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,20,Easy,U585,Vegan,2,Feedback 13,2024-02-09,Summer,Casual,5,347,Soy,14.92,397,Yes,2,2,2,Mexican,Cook beef; Prepare toppings; Assemble tacos.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",7,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14242914,0.094956286,1
13,R014,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,57,Easy,U476,Vegan,2,Feedback 14,2024-12-27,Fall,Casual,5,797,Soy,14.23,53,No,2,2,2,Chinese,Chop veggies; Stir-fry; Add sauce; Serve.,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",4,0.5,0.5,0.5,0.9999999,1.0,1
14,R015,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,33,Medium,U449,,2,Feedback 15,2024-02-25,Spring,Party,5,731,,13.82,493,Yes,3,3,3,Mexican,Cook beef; Prepare toppings; Assemble tacos.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",7,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9999999,0.9999999,0
